name,year,population
Afghanistan,2020,38928341.0
Africa,2020,1340598113.0
African Group,2020,1338826591.0
African Union,2020,1339423920.9999998
African Union: Central Africa,2020,158619638.0
African Union: Eastern Africa,2020,392563672.0
African Union: Northern Africa,2020,207032898.99999997
African Union: Southern Africa,2020,184002188.0
African Union: Western Africa,2020,397205524.0
"African, Caribbean and Pacific (ACP) Group of States",2020,1179679906.0
Albania,2020,2877800.0
Algeria,2020,43851043.0
American Samoa,2020,55196.99999999999
Andean Community,2020,113170819.0
Andorra,2020,77265.0
Angola,2020,32866267.999999996
Anguilla,2020,15002.0
Antigua and Barbuda,2020,97928.0
Argentina,2020,45195777.0
Armenia,2020,2963234.0000000005
Aruba,2020,106766.0
Asia,2020,4641054786.0
Asia-Pacific Economic Cooperation (APEC),2020,2972249482.0
Asia-Pacific Group,2020,4621682230.0
Association of Southeast Asian Nations (ASEAN),2020,667301412.0
Australia,2020,25499881.0
Australia/New Zealand,2020,30322113.999999996
Austria,2020,9006400.0
Azerbaijan,2020,10139175.0
BRIC,2020,3177822028.0
BRICS,2020,3237130718.0000005
Bahamas,2020,393248.00000000006
Bahrain,2020,1701582.9999999998
Bangladesh,2020,164689383.0
Barbados,2020,287371.0
Belarus,2020,9449321.0
Belgium,2020,11589616.000000002
Belize,2020,397621.0
Belt-Road Initiative (BRI),2020,3403061795.0
Belt-Road Initiative: Africa,2020,1192659576.0
Belt-Road Initiative: Asia,2020,1572525725.0
Belt-Road Initiative: Europe,2020,413895375.0
Belt-Road Initiative: Latin America and the Caribbean,2020,208569955.0
Belt-Road Initiative: Pacific,2020,15411163.999999998
Benin,2020,12123198.0
Bermuda,2020,62273.0
Bhutan,2020,771612.0
Black Sea Economic Cooperation (BSEC),2020,343357186.0
Bolivarian Alliance for the Americas (ALBA),2020,58690348.0
Bolivia,2020,11673028.999999998
"Bonaire, Sint Eustatius and Saba",2020,26221.0
Bosnia and Herzegovina,2020,3280815.0
Botswana,2020,2351625.0
Brazil,2020,212559409.0
British Virgin Islands,2020,30237.0
Brunei Darussalam,2020,437483.0
Bulgaria,2020,6948445.0
Burkina Faso,2020,20903278.000000004
Burundi,2020,11890781.0
Cape Verde,2020,555988.0
Cambodia,2020,16718971.000000002
Cameroon,2020,26545863.999999996
Canada,2020,37742157.0
Caribbean,2020,43532374.0
Caribbean Community and Common Market (CARICOM),2020,18849823.0
Cayman Islands,2020,65720.0
Central African Republic,2020,4829764.0
Central America,2020,179670186.00000003
Central Asia,2020,74338925.99999999
Central European Free Trade Agreement (CEFTA),2020,25746658.0
Central and Southern Asia,2020,2014708531.0
Chad,2020,16425859.0
Channel Islands,2020,173859.0
Chile,2020,19116209.0
China,2020,1439323774.0
China (and dependencies),2020,1471286879.0
Hong Kong,2020,7496988.0
"China, Macao SAR",2020,649342.0
Taiwan,2020,23816775.0
Colombia,2020,50882884.00000001
Commonwealth of Independent States (CIS),2020,290592838.0
Commonwealth of Nations,2020,2565385550.0
Commonwealth: Africa,2020,583993867.0000001
Commonwealth: Asia,2020,1825653173.0000002
Commonwealth: Caribbean and Americas,2020,44597814.00000001
Commonwealth: Europe,2020,69534904.00000001
Commonwealth: Pacific,2020,41605792.0
Comoros,2020,869595.0
Congo,2020,5518092.0
Cook Islands,2020,17564.0
Costa Rica,2020,5094114.000000001
Countries with Access to the Sea,2020,7199203331.0
Countries with Access to the Sea: Africa,2020,999209561.0
Countries with Access to the Sea: Asia,2020,4474222842.0
Countries with Access to the Sea: Europe,2020,679066702.0
Countries with Access to the Sea: Latin America and the Caribbean,2020,635156772.9999999
Countries with Access to the Sea: Northern America,2020,368869644.0
Countries with Access to the Sea: Oceania,2020,42677809.0
Croatia,2020,4105268.0
Cuba,2020,11326616.000000002
Curaçao,2020,164100.0
Cyprus,2020,1207361.0
Czechia,2020,10708982.0
Cote dIvoire,2020,26378275.0
North Korea,2020,25778815.0
Democratic Republic of the Congo,2020,89561404.00000001
Denmark,2020,5792203.0
Denmark (and dependencies),2020,5897840.0
Djibouti,2020,988002.0
Dominica,2020,71991.0
Dominican Republic,2020,10847903.999999998
ECE: North America-2,2020,368744804.0
ECE: UNECE-52,2020,1301482488.0
ECLAC: Latin America,2020,641934032.0
ECLAC: The Caribbean,2020,12024817.0
ESCAP region: East and North-East Asia,2020,1654272852.0
ESCAP region: North and Central Asia,2020,237364970.0
ESCAP region: Pacific,2020,42665212.99999999
ESCAP region: South and South-West Asia,2020,2024708671.9999998
ESCAP region: South-East Asia,2020,668619853.9999999
ESCAP: ADB Developing member countries (DMCs),2020,4064234805.0
ESCAP: ADB Group A (Concessional assistance only),2020,165457879.00000003
ESCAP: ADB Group B (OCR blend),2020,1812617150.9999998
ESCAP: ADB Group C (Regular OCR only),2020,2086159775.0
ESCAP: ASEAN,2020,667301412.0
ESCAP: Central Asia,2020,91430510.0
ESCAP: ECO,2020,512630792.99999994
ESCAP: HDI groups,2020,4627631561.000001
ESCAP: Landlocked countries (LLDCs),2020,166831944.00000003
ESCAP: Least Developed Countries (LDCs),2020,314374173.0
ESCAP: Pacific island dev. econ.,2020,12343098.999999998
ESCAP: SAARC,2020,1856376651.9999998
ESCAP: WB High income econ.,2020,223305480.0
ESCAP: WB Low income econ.,2020,93843964.0
ESCAP: WB Lower middle income econ.,2020,2414189200.0
ESCAP: WB Upper middle income econ.,2020,1896273735.0
ESCAP: WB income groups,2020,4627612379.0
ESCAP: high HDI,2020,222728251.00000003
ESCAP: high income,2020,222956185.0
ESCAP: income groups,2020,4627631561.000001
ESCAP: low HDI,2020,1933858786.9999998
ESCAP: low income,2020,2096735108.0
ESCAP: lower middle HDI,2020,2069715775.9999998
ESCAP: lower middle income,2020,586217954.0
ESCAP: other Asia-Pacific countries/areas,2020,200828133.0
ESCAP: upper middle HDI,2020,401328747.00000006
ESCAP: upper middle income,2020,1721722314.0
ESCWA: Arab countries,2020,436378875.0
ESCWA: Arab least developed countries,2020,96075713.0
ESCWA: Gulf Cooperation Council countries,2020,58664095.0
ESCWA: Maghreb countries,2020,99451506.0
ESCWA: Mashreq countries,2020,182187561.00000003
ESCWA: member countries,2020,374777016.0
East African Community (EAC),2020,195283232.0
Eastern Africa,2020,445405578.0
Eastern Asia,2020,1678089626.9999998
Eastern Europe,2020,293013210.0
Eastern European Group,2020,339831453.0
Eastern and South-Eastern Asia,2020,2346709481.0
Economic Community of Central African States (ECCAS),2020,204438115.0
Economic Community of West African States (ECOWAS),2020,397205524.0
Economic Cooperation Organization (ECO),2020,512630792.99999994
Ecuador,2020,17643060.0
Egypt,2020,102334403.0
El Salvador,2020,6486201.0
Equatorial Guinea,2020,1402985.0
Eritrea,2020,3546427.0
Estonia,2020,1326539.0
Eswatini,2020,1160164.0
Ethiopia,2020,114963583.00000001
Eurasian Economic Community (Eurasec),2020,223691520.0
Europe,2020,747636045.0
Europe,2020,747636045.0
Europe (48),2020,747636045.0
Europe and Northern America,2020,1116505689.0
European Community (EC: 12),2020,384860299.0
European Free Trade Agreement (EFTA),2020,14455247.0
European Union (EU: 15),2020,409506687.00000006
European Union (EU: 28),2020,513136526.0
Falkland Islands (Malvinas),2020,3483.0
Faroe Islands,2020,48865.0
Fiji,2020,896444.0
Finland,2020,5540718.000000001
France,2020,65273512.0
France (and dependencies),2020,68147687.0
French Guiana,2020,298682.0
French Polynesia,2020,280904.0
Gabon,2020,2225728.0
Gambia,2020,2416663.9999999995
Georgia,2020,3989175.0
Germany,2020,83783945.0
Ghana,2020,31072945.0
Gibraltar,2020,33691.0
Greater Arab Free Trade Area (GAFTA),2020,413978399.0
Greece,2020,10423056.0
Greenland,2020,56772.0
Grenada,2020,112518.99999999999
Group of 77 (G77),2020,6135279467.0
Group of Eight (G8),2020,918561011.0
Group of Seven (G7),2020,772626551.0
Group of Twenty (G20) - member states,2020,4653331418.000001
Guadeloupe,2020,400126.99999999994
Guam,2020,168783.0
Guatemala,2020,17915567.0
Guinea,2020,13132792.0
Guinea Bissau,2020,1967997.9999999998
Gulf Cooperation Council (GCC),2020,58664095.0
Guyana,2020,786559.0
Haiti,2020,11402533.000000002
High-income countries,2020,1263092934.0000002
Holy See,2020,809.0
Honduras,2020,9904608.0
Hungary,2020,9660350.0
Iceland,2020,341250.0
India,2020,1380004385.0
Indonesia,2020,273523621.00000006
Iran,2020,83992953.00000001
Iraq,2020,40222503.0
Ireland,2020,4937795.999999999
Isle of Man,2020,85032.00000000001
Israel,2020,8655541.0
Italy,2020,60461828.0
Jamaica,2020,2961160.9999999995
Japan,2020,126476458.00000001
Jordan,2020,10203140.0
Kazakhstan,2020,18776707.0
Kenya,2020,53771300.0
Kiribati,2020,119446.0
Kuwait,2020,4270563.0
Kyrgyzstan,2020,6524191.0
LLDC: Africa,2020,341388552.0
LLDC: Asia,2020,166831944.00000003
LLDC: Europe,2020,6117343.000000001
LLDC: Latin America,2020,18805558.999999996
Land-locked Countries,2020,595596207.0
Land-locked Countries (Others),2020,62452809.0
Land-locked Developing Countries (LLDC),2020,533143397.99999994
Laos,2020,7275556.0
Latin America and the Caribbean,2020,653962332.0
Latin America and the Caribbean,2020,653962332.0
Latin American Integration Association (ALADI),2020,573658551.0
Latin American and Caribbean Group (GRULAC),2020,649376323.0
Latvia,2020,1886202.0000000002
"League of Arab States (LAS, informal name: Arab League)",2020,436378875.0
Least developed countries,2020,1057438163.0
Least developed: Africa,2020,701835489.0
Least developed: Asia,2020,343074875.0
Least developed: Latin America and the Caribbean,2020,11402533.000000002
Least developed: Oceania,2020,1125266.0
Lebanon,2020,6825441.999999999
Lesotho,2020,2142252.0
Less developed regions,2020,6521494467.999999
"Less developed regions, excluding China",2020,5050207589.0
"Less developed regions, excluding least developed countries",2020,5464056305.0
Less developed: Africa,2020,1340598113.0
Less developed: Asia,2020,4514578328.0
Less developed: Latin America and the Caribbean,2020,653962332.0
Less developed: Oceania,2020,12355695.0
Liberia,2020,5057677.0
Libya,2020,6871286.999999999
Liechtenstein,2020,38137.0
Lithuania,2020,2722290.9999999995
Low-income countries,2020,775710612.0000001
Lower-middle-income countries,2020,3098235284.0
Luxembourg,2020,625976.0
Madagascar,2020,27691019.0
Malawi,2020,19129955.0
Malaysia,2020,32365998.0
Maldives,2020,540541.9999999999
Mali,2020,20250834.0
Malta,2020,441539.0
Marshall Islands,2020,59193.99999999999
Martinique,2020,375265.0
Mauritania,2020,4649660.0
Mauritius,2020,1271767.0
Mayotte,2020,272813.0
Melanesia,2020,11122990.0
Mexico,2020,128932753.00000001
Micronesia,2020,548927.0
Micronesia (Fed. States of),2020,115021.0
Middle Africa,2020,179595125.0
Middle-income countries,2020,5753051615.0
Monaco,2020,39244.0
Mongolia,2020,3278292.0
Montenegro,2020,628062.0
Montserrat,2020,4999.0
More developed regions,2020,1273304261.0
More developed: Asia,2020,126476458.00000001
More developed: Europe,2020,747636045.0
More developed: Northern America,2020,368869644.0
More developed: Oceania,2020,30322113.999999996
Morocco,2020,36910558.0
Mozambique,2020,31255435.0
Myanmar,2020,54409794.0
Namibia,2020,2540916.0
Nauru,2020,10834.000000000002
Nepal,2020,29136807.999999996
Netherlands,2020,17134873.0
Netherlands (and dependencies),2020,17474842.0
New Caledonia,2020,285491.0
New EU member states (joined since 2004),2020,103629839.0
New Zealand,2020,4822233.0
New Zealand (and dependencies),2020,4842765.0
Nicaragua,2020,6624554.0
Niger,2020,24206636.000000004
Nigeria,2020,206139587.0
Niue,2020,1618.0
No income group available,2020,2943567.9999999995
Non-Self-Governing Territories,2020,1753672.0
North American Free Trade Agreement (NAFTA),2020,497677557.0
North Atlantic Treaty Organization (NATO),2020,944255667.0
North Macedonia,2020,2083380.0
Northern Africa,2020,246232508.0
Northern Africa and Western Asia,2020,525869282.0
Northern America,2020,368869644.0
Northern America,2020,368869644.0
Northern Europe,2020,106261271.0
Northern Mariana Islands,2020,57556.99999999999
Norway,2020,5421241.999999999
Oceania,2020,42677809.0
Oceania (excluding Australia and New Zealand),2020,12355695.0
Oman,2020,5106622.0
Organisation for Economic Co-operation and Development (OECD),2020,1313469470.0
Organization for Security and Co-operation in Europe (OSCE),2020,1296294632.0
Organization of American States (OAS),2020,1018121127.0
Organization of Petroleum Exporting countries (OPEC),2020,518144279.0
Organization of the Islamic Conference (OIC),2020,1907530488.0000002
Pakistan,2020,220892331.0
Palau,2020,18092.0
Panama,2020,4314768.0
Papua New Guinea,2020,8947027.0
Paraguay,2020,7132530.0
Peru,2020,32971845.999999996
Philippines,2020,109581085.0
Poland,2020,37846605.0
Polynesia,2020,683778.0
Portugal,2020,10196707.0
Puerto Rico,2020,2860840.0
Qatar,2020,2881060.0
South Korea,2020,51269183.0
Moldova,2020,4033962.9999999995
Romania,2020,19237682.0
Russia,2020,145934460.0
Rwanda,2020,12952208.999999998
Réunion,2020,895308.0
"SIDS Atlantic, and Indian Ocean, Mediterranean and South China Sea (AIMS)",2020,16226846.000000002
SIDS Caribbean,2020,43506153.0
SIDS Pacific,2020,12343098.999999998
Saint Barthélemy,2020,9885.0
Saint Helena,2020,6071.000000000001
Saint Kitts and Nevis,2020,53192.0
Saint Lucia,2020,183629.00000000003
Saint Martin (French part),2020,38659.0
Saint Pierre and Miquelon,2020,5795.0
Saint Vincent and the Grenadines,2020,110947.0
Samoa,2020,198410.0
San Marino,2020,33938.0
Sao Tome and Principe,2020,219160.99999999997
Saudi Arabia,2020,34813867.0
Senegal,2020,16743930.0
Serbia,2020,8737370.0
Seychelles,2020,98340.0
Shanghai Cooperation Organization (SCO),2020,3254462689.0
Sierra Leone,2020,7976985.0
Singapore,2020,5850343.000000001
Sint Maarten (Dutch part),2020,42882.0
Slovakia,2020,5459643.0
Slovenia,2020,2078932.0000000002
Small Island Developing States (SIDS),2020,72076098.0
Solomon Islands,2020,686878.0
Somalia,2020,15893219.0
South Africa,2020,59308690.0
South America,2020,430759772.00000006
South Asian Association for Regional Cooperation (SAARC),2020,1856376651.9999998
South Sudan,2020,11193729.0
South-Eastern Asia,2020,668619853.9999999
Southern Africa,2020,67503647.0
Southern African Development Community (SADC),2020,363228526.0
Southern Asia,2020,1940369605.0
Southern Common Market (MERCOSUR),2020,308470415.0
Southern Europe,2020,152215243.00000003
Spain,2020,46754782.99999999
Sri Lanka,2020,21413250.0
State of Palestine,2020,5101416.0
Sub-Saharan Africa,2020,1094365605.0
Sudan,2020,43849269.0
Suriname,2020,586634.0
Sweden,2020,10099270.0
Switzerland,2020,8654618.0
Syria,2020,17500657.0
Tajikistan,2020,9537642.0
Thailand,2020,69799978.0
Timor Leste,2020,1318442.0
Togo,2020,8278736.999999999
Tokelau,2020,1350.0
Tonga,2020,105697.0
Trinidad and Tobago,2020,1399491.0
Tunisia,2020,11818618.0
Turkey,2020,84339067.0
Turkmenistan,2020,6031187.0
Turks and Caicos Islands,2020,38718.0
Tuvalu,2020,11792.0
UN-ECE: member countries,2020,1301671072.0
UNFPA Regions,2020,6435966035.0
UNFPA: Arab States (AS),2020,377302147.00000006
UNFPA: Asia and the Pacific (AP),2020,4082579031.0000005
UNFPA: East and Southern Africa (ESA),2020,617189215.0
UNFPA: Eastern Europe and Central Asia (EECA),2020,249965985.0
UNFPA: Latin America and the Caribbean (LAC),2020,649907020.0
UNFPA: West and Central Africa (WCA),2020,459022637.00000006
UNICEF PROGRAMME REGIONS,2020,6518336209.0
UNICEF Programme Regions: East Asia and Pacific (EAPRO),2020,2142209426.0
UNICEF Programme Regions: Eastern Caribbean,2020,2406024.0
UNICEF Programme Regions: Eastern and Southern Africa (ESARO),2020,542249262.9999999
UNICEF Programme Regions: Europe and Central Asia (CEECIS),2020,280885442.0
UNICEF Programme Regions: Latin America,2020,646666007.0
UNICEF Programme Regions: Latin America and Caribbean (LACRO),2020,649072031.0
UNICEF Programme Regions: Middle East and North Africa (MENARO),2020,498959354.0
UNICEF Programme Regions: South Asia (ROSA),2020,1856376651.9999998
UNICEF Programme Regions: West and Central Africa (WCARO),2020,548584041.0
UNICEF REGIONS,2020,7794798728.999999
UNICEF Regions: East Asia and Pacific,2020,2389387290.0
UNICEF Regions: Eastern Europe and Central Asia,2020,426819902.0
UNICEF Regions: Eastern and Southern Africa,2020,589624762.0
UNICEF Regions: Europe and Central Asia,2020,924612983.0
UNICEF Regions: Latin America and Caribbean,2020,653962332.0
UNICEF Regions: Middle East and North Africa,2020,463374953.99999994
UNICEF Regions: North America,2020,368869644.0
UNICEF Regions: South Asia,2020,1856376651.9999998
UNICEF Regions: Sub-Saharan Africa,2020,1138214874.0
UNICEF Regions: West and Central Africa,2020,548590112.0000001
UNICEF Regions: Western Europe,2020,497793081.0
UNITED NATIONS Regional Groups of Member States,2020,7789099185.0
Uganda,2020,45741000.0
Ukraine,2020,43733759.00000001
United Arab Emirates,2020,9890400.0
United Kingdom,2020,67886004.0
United Kingdom (and dependencies),2020,68405089.0
United Nations Economic Commission for Africa (UN-ECA),2020,1338826591.0
United Nations Economic Commission for Latin America and the Caribbean (UN-ECLAC),2020,653958848.9999999
United Nations Economic and Social Commission for Asia and the Pacific (UN-ESCAP) Regions,2020,4627631561.000001
United Nations Member States,2020,7789099174.0
United Republic of Tanzania,2020,59734212.99999999
United States Virgin Islands,2020,104422.99999999999
United States of America,2020,331002647.0
United States of America (and dependencies),2020,334249447.0
Upper-middle-income countries,2020,2654816331.0
Uruguay,2020,3473727.0000000005
Uzbekistan,2020,33469199.0
Vanuatu,2020,307150.0
Venezuela,2020,28435943.0
Vietnam,2020,97338583.00000001
WB region: East Asia and Pacific (excluding high income),2020,2142225998.9999998
WB region: Europe and Central Asia (excluding high income),2020,422714633.99999994
WB region: Latin America and Caribbean (excluding high income),2020,575044612.0000001
WB region: Middle East and North Africa (excluding high income),2020,396445990.0
WB region: South Asia (excluding high income),2020,1856376651.9999998
WB region: Sub-Saharan Africa (excluding high income),2020,1135954340.0
WHO Regions,2020,7750010916.0
WHO: African region (AFRO),2020,1120161235.0
WHO: Americas (AMRO),2020,1018121127.0
WHO: Eastern Mediterranean Region (EMRO),2020,725720786.0
WHO: European Region (EURO),2020,932888130.9999999
WHO: South-East Asia region (SEARO),2020,2021386630.0
WHO: Western Pacific region (WPRO),2020,1931733007.0
Wallis and Futuna Islands,2020,11245.999999999998
West African Economic and Monetary Union (UEMOA),2020,130852886.0
Western Africa,2020,401861255.0
Western Asia,2020,279636774.0
Western Europe,2020,196146321.00000003
Western European and Others Group (WEOG),2020,923721644.0000001
Western Sahara,2020,597330.0
World,2020,7794798728.999999
World Bank Regional Groups (developing only),2020,6528762227.000001
Yemen,2020,29825967.999999996
Zambia,2020,18383956.000000004
Zimbabwe,2020,14862927.0
