name,date,total_cases
Washington,2020-01-21,1
Washington,2020-01-22,1
Washington,2020-01-23,1
Illinois,2020-01-24,1
Washington,2020-01-24,1
California,2020-01-25,1
Illinois,2020-01-25,1
Washington,2020-01-25,1
Arizona,2020-01-26,1
California,2020-01-26,2
Illinois,2020-01-26,1
Washington,2020-01-26,1
Washington,2020-01-27,1
Illinois,2020-01-27,1
Arizona,2020-01-27,1
California,2020-01-27,2
Arizona,2020-01-28,1
California,2020-01-28,2
Illinois,2020-01-28,1
Washington,2020-01-28,1
Arizona,2020-01-29,1
California,2020-01-29,2
Illinois,2020-01-29,1
Washington,2020-01-29,1
Washington,2020-01-30,1
Arizona,2020-01-30,1
California,2020-01-30,2
Illinois,2020-01-30,2
Washington,2020-01-31,1
Illinois,2020-01-31,2
Arizona,2020-01-31,1
California,2020-01-31,3
Arizona,2020-02-01,1
California,2020-02-01,3
Illinois,2020-02-01,2
Massachusetts,2020-02-01,1
Washington,2020-02-01,1
Arizona,2020-02-02,1
California,2020-02-02,6
Illinois,2020-02-02,2
Massachusetts,2020-02-02,1
Washington,2020-02-02,1
Massachusetts,2020-02-03,1
Washington,2020-02-03,1
California,2020-02-03,6
Arizona,2020-02-03,1
Illinois,2020-02-03,2
Arizona,2020-02-04,1
California,2020-02-04,6
Illinois,2020-02-04,2
Massachusetts,2020-02-04,1
Washington,2020-02-04,1
Washington,2020-02-05,1
Arizona,2020-02-05,1
California,2020-02-05,6
Illinois,2020-02-05,2
Massachusetts,2020-02-05,1
Wisconsin,2020-02-05,1
Washington,2020-02-06,1
Wisconsin,2020-02-06,1
Massachusetts,2020-02-06,1
Arizona,2020-02-06,1
California,2020-02-06,6
Illinois,2020-02-06,2
Arizona,2020-02-07,1
California,2020-02-07,6
Illinois,2020-02-07,2
Massachusetts,2020-02-07,1
Washington,2020-02-07,1
Wisconsin,2020-02-07,1
Wisconsin,2020-02-08,1
Washington,2020-02-08,1
Massachusetts,2020-02-08,1
Arizona,2020-02-08,1
California,2020-02-08,6
Illinois,2020-02-08,2
Washington,2020-02-09,1
Wisconsin,2020-02-09,1
Massachusetts,2020-02-09,1
Arizona,2020-02-09,1
California,2020-02-09,6
Illinois,2020-02-09,2
Arizona,2020-02-10,1
California,2020-02-10,7
Illinois,2020-02-10,2
Massachusetts,2020-02-10,1
Washington,2020-02-10,1
Wisconsin,2020-02-10,1
Wisconsin,2020-02-11,1
Washington,2020-02-11,1
Massachusetts,2020-02-11,1
California,2020-02-11,7
Arizona,2020-02-11,1
Illinois,2020-02-11,2
Arizona,2020-02-12,1
California,2020-02-12,7
Illinois,2020-02-12,2
Massachusetts,2020-02-12,1
Texas,2020-02-12,1
Washington,2020-02-12,1
Wisconsin,2020-02-12,1
Wisconsin,2020-02-13,1
Washington,2020-02-13,1
Texas,2020-02-13,2
Massachusetts,2020-02-13,1
California,2020-02-13,7
Arizona,2020-02-13,1
Illinois,2020-02-13,2
Arizona,2020-02-14,1
California,2020-02-14,7
Illinois,2020-02-14,2
Massachusetts,2020-02-14,1
Texas,2020-02-14,2
Washington,2020-02-14,1
Wisconsin,2020-02-14,1
Washington,2020-02-15,1
Wisconsin,2020-02-15,1
Texas,2020-02-15,2
California,2020-02-15,7
Illinois,2020-02-15,2
Massachusetts,2020-02-15,1
Arizona,2020-02-15,1
Arizona,2020-02-16,1
California,2020-02-16,7
Illinois,2020-02-16,2
Massachusetts,2020-02-16,1
Texas,2020-02-16,2
Washington,2020-02-16,1
Wisconsin,2020-02-16,1
Wisconsin,2020-02-17,1
Washington,2020-02-17,1
Texas,2020-02-17,2
Nebraska,2020-02-17,10
Illinois,2020-02-17,2
California,2020-02-17,7
Arizona,2020-02-17,1
Massachusetts,2020-02-17,1
Arizona,2020-02-18,1
California,2020-02-18,7
Illinois,2020-02-18,2
Massachusetts,2020-02-18,1
Nebraska,2020-02-18,10
Texas,2020-02-18,2
Washington,2020-02-18,1
Wisconsin,2020-02-18,1
Texas,2020-02-19,2
Wisconsin,2020-02-19,1
Washington,2020-02-19,1
Nebraska,2020-02-19,10
Arizona,2020-02-19,1
Illinois,2020-02-19,2
California,2020-02-19,7
Massachusetts,2020-02-19,1
Washington,2020-02-20,1
Texas,2020-02-20,2
Nebraska,2020-02-20,11
Wisconsin,2020-02-20,1
Illinois,2020-02-20,2
California,2020-02-20,8
